,H2A.H4R3me2,H2AZ,H2BK5me1,H3K4me1,H3K4me2,H3K4me3,H3K9me1,H3K9me2,H3K9me3,H3K27me1,H3K27me2,H3K27me3,H3K36me1,H3K36me3,H3K79me1,H3K79me2,H3K79me3,H3R2me1,H3R2me2,H4K20me1,H4K20me3,H3K4ac,H3K9ac,H3K14ac,H3K18ac,H3K23ac,H3K27ac,H3K36ac,H4K5ac,H4K8ac,H4K12ac,H4K16ac,H4K91ac,H2AK5ac,H2AK9ac,H2BK5ac,H2BK12ac,H2BK20ac,H2BK120ac
H3K9ac_H3K14ac,-0.019128850160742,-0.088198702318186,-0.0545405210440641,-0.0916828138020289,-0.1170407345851582,-0.1049057556805621,-0.0824328412060353,-0.0265521565717339,-0.0121299100354894,-0.0433428039555341,-0.0176928227252108,-0.0179303318532442,-0.0250566502450642,-0.0329186201993074,-0.021682224256903,-0.0076675816414679,-0.0296381862098815,-0.0263607320753642,-0.0229600789153821,-0.0699305726641892,-0.0213550864864204,-0.0761792542051971,,,,,,,,,,,,,,,,,
H3K9ac_H3K18ac,-0.0389452061324462,-0.0938590605748199,-0.0904670490488257,-0.3107322816841567,-0.3522812518558105,-0.0941097789027161,-0.285914826532057,-0.0990523129645275,-0.0257833124391666,-0.1429346220369307,-0.0552943898332323,-0.0644272208846405,-0.1003133039838299,-0.0357713390678409,-0.092172192026144,-0.0260289002086953,-0.0954276562442011,-0.0985912071132002,-0.0804288302137763,-0.1405678584981071,-0.0566526450399713,0.0538108214173771,,,,,,,,,,,,,,,,,
H3K9ac_H3K23ac,-0.0245550044427336,-0.1015858302171199,-0.0606575889007139,-0.1235690842914998,-0.1383139352431683,-0.1161296519257621,-0.1031435025331592,-0.033266886417401,-0.0124438559837569,-0.0615770172087444,-0.0237084403522747,-0.0237176178326539,-0.0329553724938982,-0.0438894505073204,-0.0271778051988889,-0.0102517403682469,-0.0354402126755619,-0.0318410984433956,-0.0273165371295931,-0.0820670438111843,-0.0198691160900059,-0.086326671645077,,,,,,,,,,,,,,,,,
H3K9ac_H3K27ac,-0.0396527219907447,-0.0828595515913619,-0.0671796224382301,-0.2972312085404152,-0.3629202824140609,-0.0460680183165873,-0.2957037657654187,-0.0980526685920946,-0.0255036098030085,-0.1346611358120597,-0.0446313291539279,-0.061029767230897,-0.1028588604534999,-0.0488019791393892,-0.0922034776563105,-0.0274007344913211,-0.0949661251535474,-0.0875583548970144,-0.0797853262723222,-0.1444580174413055,-0.0538070911072381,0.0345776506727393,,,,,,,,,,,,,,,,,
H3K9ac_H3K36ac,-0.0350311310418369,-0.1012309093364915,-0.0483167763772147,-0.2104269986076019,-0.2973921180321426,-0.0883328495272923,-0.2390926883017279,-0.0861895173127873,-0.0243333886754886,-0.1089016528014514,-0.0423580531541496,-0.0517275400262011,-0.0824320949189161,-0.0326946387118898,-0.0789250058403201,-0.0223283651944878,-0.0854187515163928,-0.0724092652131318,-0.0655855728502246,-0.1000633504689645,-0.0486673993751036,0.0353970070895943,,,,,,,,,,,,,,,,,
H3K9ac_H4K5ac,-0.0472116712290073,-0.1370761205336119,-0.0844016532047007,-0.2920546813562961,-0.3060848029719274,-0.2064125197667063,-0.2468011804115679,-0.0933337395625848,-0.0239037094426066,-0.1516179111405229,-0.0610962186520289,-0.0559299935792108,-0.087118320275886,-0.0659569975678096,-0.0772447272816734,-0.0242718570583431,-0.085918599941456,-0.0770448294566943,-0.0670319779269679,-0.102588400553417,-0.0481016348148166,-0.0445510488318809,,,,,,,,,,,,,,,,,
H3K9ac_H4K8ac,-0.039233368059401,-0.0908580118779802,-0.0736393414618756,-0.2519384723441131,-0.2865737882810339,-0.1529901018533248,-0.2293422366101527,-0.0846948716770246,-0.0227756182572846,-0.1423521673227892,-0.057506311551096,-0.0545195323039493,-0.0803562003400042,-0.0543929749634273,-0.0706067877283533,-0.021954287974184,-0.078600712912312,-0.0739743051908181,-0.0631733846596684,-0.0832980757801937,-0.0464079996644599,-0.0422944419278135,,,,,,,,,,,,,,,,,
H3K9ac_H4K12ac,-0.0465450095219814,-0.1848397301094273,-0.1267481850672069,-0.32950263547038,-0.3748055130790799,-0.2394612958226698,-0.294040079374529,-0.1005932637958721,-0.0307836979163944,-0.152162671940836,-0.0550462571632355,-0.0640904002615183,-0.0992175498548917,-0.0716565111946447,-0.0927281180365202,-0.0265228618191155,-0.102440837921792,-0.1008346930893893,-0.083246498350622,-0.1721051478592237,-0.0604798940253523,-0.0047999533013136,,,,,,,,,,,,,,,,,
H3K9ac_H4K16ac,-0.033433307735466,-0.1283697237441377,-0.115387672958052,-0.1649435414033995,-0.2175097154539145,-0.1396800421451178,-0.1600340484604352,-0.0526246581875895,-0.0213704038289854,-0.083308236175867,-0.0281968580318849,-0.0330242144370647,-0.0518309028953751,-0.0491452286479994,-0.0498359365700675,-0.015045296477389,-0.0556889510445195,-0.0621378463554336,-0.0498224329237135,-0.126109597039056,-0.0399946426010249,-0.0124824126886373,,,,,,,,,,,,,,,,,
H3K9ac_H4K91ac,-0.0526555029602651,-0.2483523549760988,-0.184158898708171,-0.3740093476438524,-0.4656488836378685,-0.2854117400375902,-0.3531122825632202,-0.1127197248549283,-0.0343221042997488,-0.1634719688598025,-0.0563760690875803,-0.0715089203200403,-0.115007536132687,-0.0792165252947523,-0.1085496368749474,-0.0305425376209473,-0.1144127301595308,-0.1181334418532795,-0.0973798343215772,-0.2578039581315057,-0.0690937683800942,-0.0019404347669116,,,,,,,,,,,,,,,,,
