,H2A.H4R3me2,H2AZ,H2BK5me1,H3K4me1,H3K4me2,H3K4me3,H3K9me1,H3K9me2,H3K9me3,H3K27me1,H3K27me2,H3K27me3,H3K36me1,H3K36me3,H3K79me1,H3K79me2,H3K79me3,H3R2me1,H3R2me2,H4K20me1,H4K20me3,H3K4ac,H3K9ac,H3K14ac,H3K18ac,H3K23ac,H3K27ac,H3K36ac,H4K5ac,H4K8ac,H4K12ac,H4K16ac,H4K91ac,H2AK5ac,H2AK9ac,H2BK5ac,H2BK12ac,H2BK20ac,H2BK120ac
H2A.H4R3me2_H4K20me1,0.021768124578422032,-0.03079744393586914,-0.116700956428204,-0.14995908565866145,-0.11951542311223484,-0.11302879353513617,-0.09752194472726572,-0.03592154162455863,-0.017127848991487227,-0.05795005736417025,-0.026486876804110437,-0.027232527009088514,-0.03459826210660211,-0.0726762309118616,-0.02915453059822326,-0.012198101785758197,-0.04135989672130158,-0.04130834079883705,-0.0358637276847773,0.02176812457842381,-0.03196451982857873,-0.05229732126232278,-0.044868165072687205,-0.027464775468978075,-0.06275828988977317,-0.027824268726361012,-0.06498270654538274,-0.04454635913325511,-0.05023761490325107,-0.04225069195692477,-0.06873809962089261,-0.04898822271969827,-0.09606621851819064,-0.0370516851685494,-0.01948508241278013,-0.04245149892216915,-0.04239536062079807,-0.060405149523358403,-0.06195002644448522
H2A.H4R3me2_H4K20me3,0.039327213601872746,-0.027983017559723322,-0.04290367539926265,-0.04296836859105113,-0.02175036187134083,-0.04169475096599662,-0.017045209115199356,-0.018697993116168377,-0.004370930684280072,-0.028886391463032624,-0.01288199317334815,-0.016280684969661507,-0.019202626621534158,-0.038199887758580964,-0.017846112410892623,-0.006177605350316195,-0.025326626217859527,-0.023492102600887854,-0.015695518190849356,-0.031964519828571625,0.03932721360187186,-0.013824473166366147,-0.018808876554404996,-0.016681648891674783,-0.015000443361371296,-0.009150503813898148,-0.01217408733545966,-0.018012232582888643,-0.01615435089835593,-0.015466304770034078,-0.023025658223502,-0.027493189548239094,-0.02055417587817665,-0.013594831008123975,-0.010211919193618968,-0.009968848191137525,-0.01517566016377625,-0.016197718350362322,-0.014458660966036874
H2A.H4R3me2_H3K4ac,0.020588848545191496,-0.040453030961714376,-0.044648565506532734,-0.0747644625921069,-0.06600974415062133,-0.05865619698434266,-0.04788247366019327,-0.019219056132671497,-0.003576154349416605,-0.025010444950106958,-0.010340686498184759,-0.012131846459619844,-0.017958888358762692,-0.01960210863191314,-0.015370028773986633,-0.006114267849960164,-0.021519097750170246,-0.018985913128654275,-0.01519108190021079,-0.0522973212623139,-0.01382447316637414,0.020588848545191496,-0.0321313113936359,-0.018531831032204238,-0.0302503567966248,-0.01912828080591744,-0.03599292182178715,-0.02879337157362194,-0.039578466762151265,-0.033284450453789916,-0.033759109048258296,-0.034147796504754524,-0.03647975731795938,-0.03258695848360382,-0.014147103307446507,-0.025236959900372113,-0.02964036156261507,-0.02997809154914144,-0.02801433487517002
H2A.H4R3me2_H3K9ac,0.03181086160276614,-0.041032594193715966,-0.0294476712258529,-0.060153621551748415,-0.0779356872921948,-0.038332888284704936,-0.054033265852149626,-0.018891153702120356,-0.01062399457662977,-0.02285636930944257,-0.009199285356888076,-0.014578941657242162,-0.018896157792909207,-0.015249758785904177,-0.016743828093400026,-0.0070589050645937235,-0.025666508096445995,-0.014026632323952626,-0.014124513499647051,-0.04486816507267655,-0.018808876554409437,-0.03213131139363412,0.03181086160276614,-0.019128850160729627,-0.03894520613242669,-0.024555004442721184,-0.03965272199072167,-0.03503113104181921,-0.04721167122898606,-0.03923336805938327,-0.04654500952196372,-0.03343330773545894,-0.05265550296024735,-0.022744714488462492,-0.012341821986124657,-0.02725468458457847,-0.03472446290517972,-0.042710437691450664,-0.040586522385314794
H2A.H4R3me2_H3K14ac,0.006585360356723413,-0.019093011302922847,-0.02656718082091203,-0.02809750616991913,-0.026491238875360423,-0.03210461687563004,-0.020359073961913055,-0.009910164996927762,-0.009334373272457341,-0.010916811652122327,-0.00668135510269785,-0.008175699660387004,-0.007531466458356562,-0.018067218846355537,-0.007101685508976274,-0.002914611261733313,-0.013877208765521232,-0.010196460772387894,-0.009317097534380814,-0.027464775468974523,-0.016681648891677447,-0.01853183103220779,-0.019128850160731403,0.006585360356723413,-0.02305316683883163,-0.006679453594913731,-0.022611903526167154,-0.018265982450307305,-0.01951096472424041,-0.017433096261443737,-0.022586526195508938,-0.01344455484364726,-0.02558064886084388,-0.00887334638177073,-0.007228477216407292,-0.015960572942379514,-0.0163496484455683,-0.020265962596813125,-0.020846552623085657
H2A.H4R3me2_H3K18ac,0.025481689425836507,-0.05175804946391693,-0.05190028276762604,-0.09503303751008296,-0.08549383214957196,-0.07780159354547322,-0.0608731742399069,-0.0234238884550102,-0.0025335221628521865,-0.03224415763871491,-0.013768968978547846,-0.017181539580255034,-0.02147976204754798,-0.018604854875784227,-0.018376926731404453,-0.007359880687284992,-0.026036590121746528,-0.02221993223234975,-0.01748964872322034,-0.06275828988976251,-0.015000443361380178,-0.030250356796623024,-0.03894520613243024,-0.02305316683883163,0.025481689425836507,-0.025072196357955434,-0.04090267277181425,-0.03617727978646457,-0.04629805724390046,-0.03992724485908994,-0.0440769331431774,-0.04003952025278501,-0.056902292965057555,-0.035620797770000934,-0.016140320194351077,-0.02974428769738857,-0.035513753275242976,-0.03938886173694911,-0.03608651249244055
H2A.H4R3me2_H3K23ac,0.007215038776451799,-0.023407472934442453,-0.026131786988324635,-0.030468693292684534,-0.028466653874538395,-0.04096499022877964,-0.021521395771927132,-0.010234456142075743,-0.004685906019167518,-0.012489968695497566,-0.008017044742169688,-0.00863489325697131,-0.008990237859522132,-0.018272592069494387,-0.007175389568624624,-0.00401721711707026,-0.009275474714241838,-0.010616292760469825,-0.008307492555596596,-0.027824268726350354,-0.0091505038139017,-0.019128280805919218,-0.024555004442726514,-0.006679453594915508,-0.02507219635795721,0.0072150387764509105,-0.027222116136442764,-0.020426874989809107,-0.02038799846767425,-0.018859552477259456,-0.023328115175097253,-0.014050432797120038,-0.026166942022451067,-0.008583690234789998,-0.008234350583135708,-0.01871127296336983,-0.016909730755540586,-0.021707274065137838,-0.02268413264485858
H2A.H4R3me2_H3K27ac,0.031439247219202215,-0.0552757926897236,-0.050852288680914626,-0.0999749117987001,-0.0956291875764208,-0.08448013349666184,-0.06738687521269071,-0.021774772017382205,-0.0010873063673528804,-0.03278975580380994,-0.008451618694211405,-0.013047751064776847,-0.021303622405740796,-0.02325516058252397,-0.0178948973816091,-0.0073452064635164405,-0.021822507325302,-0.018538202584670316,-0.016041181012919736,-0.0649827065453703,-0.012174087335468542,-0.03599292182178715,-0.03965272199072345,-0.022611903526165378,-0.04090267277181425,-0.027222116136437435,0.03143924721920044,-0.03909995177425429,-0.05042262297020095,-0.04236629329779262,-0.052763802667227466,-0.04115699558670016,-0.07118934610049266,-0.03468668239717232,-0.01674657414278613,-0.02537679698145645,-0.038617631754437554,-0.04740334566470139,-0.044514025789771594
H2A.H4R3me2_H3K36ac,0.018142638439448078,-0.0418399543754564,-0.0360217165283192,-0.06838225326103498,-0.06910064332901555,-0.061092627899290264,-0.04870396693501178,-0.021078274172861455,-0.007684434316628241,-0.02588922085423384,-0.012699481429984338,-0.015079085788714863,-0.018239028061278972,-0.020008913800552364,-0.01654465106911651,-0.007046644128430479,-0.022990137250525677,-0.017141269478692323,-0.01459825351859223,-0.044546359133242674,-0.0180122325828993,-0.02879337157362194,-0.03503113104181743,-0.018265982450303753,-0.036177279786461014,-0.020426874989805555,-0.03909995177425252,0.018142638439448078,-0.04078761655953578,-0.03492385022529376,-0.038458609023269474,-0.033564381430364776,-0.04701448788938478,-0.03061145132188514,-0.014000447027757268,-0.029415714455446107,-0.03028646157563486,-0.035956512039303945,-0.03266503410028676
H2A.H4R3me2_H4K5ac,0.012832447106216449,-0.05104106952639853,-0.047385667910694096,-0.0767364322370998,-0.06999301807175051,-0.07853335622845137,-0.05093762568695759,-0.02298147031033615,-0.005528100008236336,-0.031180127523516177,-0.01589327502828297,-0.015652323104089483,-0.020783260995537844,-0.029722607913519994,-0.01590721543189666,-0.007426281532426415,-0.02198728103532943,-0.019686054377862305,-0.016986717954475594,-0.05023761490324574,-0.01615435089836481,-0.03957846676214949,-0.047211671228989616,-0.019510964724236857,-0.04629805724389868,-0.020387998467672475,-0.05042262297020095,-0.040787616559534,0.012832447106216449,-0.03222032036135403,-0.046884032358102345,-0.03551346259599342,-0.05793531737560542,-0.02684111084029084,-0.017380253081082486,-0.03737938355220827,-0.03571673613587656,-0.044749965133801695,-0.04439226712088207
