,H4K5ac,H4K12ac,H4K8ac,H3K4ac,H3K23ac,H3K14ac,H2AK5ac,H3K18ac,H3K9ac,H3K56ac,H3K27ac,H3K4me3,H3K4me2,Htz1,H3K79me,H3S10ph,H3K4me,H4K20me,H3K36me,H3K36me2,H4K16ac,H3K79me3,H3K36me3,H4R3me2s,H4R3me,H2AS129ph
H4K5ac_H3K27ac,0.2754563437941542,0.13963211166756295,0.14319894408310674,0.12405205799335306,0.1303914349195292,0.0978890910085557,0.12162859151385952,0.044729323619487005,0.0985099527087705,0.12610618001296459,0.27545634379415596,-0.09160659221083378,-0.07106731521111875,-0.017324192425386187,-0.055893771569706985,-0.12426798267912531,-0.1545559962828662,-0.11424263706288151,-0.0702015084615013,-0.11229926799394185,-0.1330895694136025,-0.0881355371858934,-0.09453269476586001,-0.08093114748198005,-0.062577626818479,-0.17913743090065815
H4K5ac_H3K4me3,0.2571729523266484,0.032542703103761284,0.01772558918931111,-0.061090700484676574,-0.01193154785691064,-0.005039786298146609,0.0069473145245435575,-0.06777997539593095,-0.12230508312291732,-0.05670758230808204,-0.09160659221083378,0.2571729523266484,-0.09855911261746542,-0.17777916686214468,-0.27569335676477635,-0.24958332056206523,-0.26096272878035265,-0.19146518033183924,-0.2534261959458419,-0.2628563731550724,-0.2577766972692217,-0.272488996028482,-0.32398344349310904,-0.15259138187088261,-0.12447634501750038,-0.3356429140704389
H4K5ac_H3K4me2,0.19917835083839108,0.0217661700363756,0.024918984523871757,-0.07239378286188014,-0.03483835733125318,-0.05420620666600939,-0.013755941385131365,-0.09660803811897622,-0.13164511566845682,-0.060627240371848856,-0.07106731521111875,-0.09855911261746542,0.1991783508383893,-0.14171930612947747,-0.18481253268639009,-0.18167813473115402,-0.2842600673142375,-0.21279129131382746,-0.1771023219613035,-0.19807152813450912,-0.2005581800456504,-0.2255325225483702,-0.2776675503217323,-0.17240513302275495,-0.12193515644312924,-0.2845434228782615
H4K5ac_Htz1,0.24578129654530834,0.10618892901953458,0.10231256687488255,-0.010373265755797334,-0.003519869262746056,-0.010720988654801644,0.08421124007569958,-0.0814501040038742,-0.06534907408185653,-0.019825408526283894,-0.01732419242538441,-0.17777916686214823,-0.14171930612948103,0.2457812965453101,-0.09319037369785654,-0.15074088392553442,-0.14668780552644378,-0.1006539801227575,-0.12018840516054219,-0.175246456331017,-0.1588174155327966,-0.06813485091637794,-0.036871968565549196,0.0027315695389500405,0.006492266579691375,-0.22716075455981866
H4K5ac_H3K79me,0.11836002396284684,-0.006456844214680402,-0.013237110672815078,-0.09263699377992651,-0.09735499121865843,-0.10154233851610428,-0.06119973924830546,-0.17888686497218131,-0.12096724151518501,-0.07628380673898505,-0.05589377156970521,-0.27569335676477813,-0.18481253268639364,-0.09319037369785299,0.11836002396284862,-0.15377682022822015,-0.20906162733164457,-0.16737349338663954,-0.10177721854239152,-0.19693670933240526,-0.16401404891539784,-0.09930155409673702,-0.13780840268968575,-0.12353876944332143,-0.08444649368920842,-0.2290588730640728
H4K5ac_H3S10ph,0.0249537152625674,-0.0980959640879231,-0.10199833044808315,-0.175276647389774,-0.16448030638537858,-0.17939227490560228,-0.13363366767186768,-0.22300600075248767,-0.17075005271859922,-0.13912680917056974,-0.12426798267912886,-0.24958332056206345,-0.18167813473115757,-0.15074088392553442,-0.15377682022822725,0.024953715262570952,-0.1928702790967165,-0.15126866958684282,-0.15621199770128413,-0.19681008790650267,-0.15516405271956657,-0.1884346446075167,-0.22850820860201537,-0.17508220604575264,-0.13071489078194887,-0.20473668976655723
H4K5ac_H3K4me,0.11388066906276606,-0.06032044258878422,-0.0860364889980314,-0.16195486967560413,-0.15648958126298496,-0.1710114017169566,-0.11687206105814774,-0.2151542427396862,-0.1619451089588715,-0.13151662149847887,-0.15455599628286087,-0.26096272878034377,-0.2842600673142375,-0.146687805526442,-0.20906162733164102,-0.19287027909671295,0.11388066906276428,-0.07073473634575045,-0.1809346594543335,-0.22217130370150429,-0.17815071306301533,-0.1746918415954788,-0.21132239980073564,-0.14285690721080968,-0.10164425497031715,-0.26832753457849634
H4K5ac_H4K20me,0.0957821205726681,-0.04215857993921368,-0.06685947395068581,-0.10389842861910381,-0.09601002255895708,-0.11166270237913345,-0.06670172972066446,-0.1372969785804159,-0.10076819359163203,-0.08464223734264209,-0.11424263706287974,-0.19146518033183213,-0.21279129131382746,-0.10065398012275395,-0.16737349338663599,-0.15126866958684104,-0.07073473634575222,0.0957821205726681,-0.16793363360529412,-0.17438781669015313,-0.1523375581259252,-0.10470029589277274,-0.14697256729559705,-0.11335466458276144,-0.06664856672721875,-0.21919172614688875
H4K5ac_H3K36me,0.13671575373552614,-0.014777662635870215,-0.022438757735685044,-0.11878514537588813,-0.10589312408208684,-0.11825297304551796,-0.08305837237245406,-0.19841336803327003,-0.14387995510187324,-0.09737596913675972,-0.07020150846149775,-0.2534261959458366,-0.1771023219613035,-0.12018840516054041,-0.1017772185423933,-0.15621199770128236,-0.1809346594543335,-0.16793363360529234,0.13671575373552614,-0.10088611164833772,-0.14071751015133316,-0.1421435901478656,-0.1538180487876435,-0.19970302116020555,-0.13614901503679455,-0.22432818137651722
H4K5ac_H3K36me2,0.12718805835736013,-0.05031567815095883,-0.06656753140779692,-0.14796070410399942,-0.11776155596771076,-0.13732642456586674,-0.09030705350886414,-0.20292226294991522,-0.17348757944328597,-0.12833244959949575,-0.11229926799394008,-0.26285637315506705,-0.19807152813450557,-0.1752464563310152,-0.19693670933239815,-0.1968100879065009,-0.22217130370150429,-0.17438781669015135,-0.10088611164833772,0.1271880583573619,-0.17009162447829596,-0.20020130408287784,-0.23495880904390987,-0.231988676456794,-0.16478842510052338,-0.2637881635508563
