,H4K5ac,H4K12ac,H4K8ac,H3K4ac,H3K23ac,H3K14ac,H2AK5ac,H3K18ac,H3K9ac,H3K56ac,H3K27ac,H3K4me3,H3K4me2,Htz1,H3K79me,H3S10ph,H3K4me,H4K20me,H3K36me,H3K36me2,H4K16ac,H3K79me3,H3K36me3,H4R3me2s,H4R3me,H2AS129ph
H3K4me,0.11388066906276606,0.08971140601533278,0.08240195750535229,0.1644951782890267,0.1938810673846625,0.2646484480475859,0.17283173176906708,0.3064167913510598,0.1644175169641482,0.137107861301887,0.07520841369306908,0.5093901415286233,0.34770137293073944,0.09589470958176527,0.07473706270652158,0.036827087147878856,4.635201096524311,0.7659328087729946,0.1550269810027345,0.2723986514338783,0.21536513259856527,0.24827004597637803,0.3189152789923533,0.3099019006756496,0.18148378498916173,0.14146459299650616
H4K20me,0.09578212057266633,0.06917433081231295,0.05913860413892991,0.17223258664901664,0.19081145411938039,0.21628282770978657,0.19484785210172184,0.29236326038082616,0.1807738561184351,0.15266103533610487,0.09421988813316506,0.281316088565859,0.15604336618232217,0.1030329840847859,0.05734133465171709,0.026487332273405606,0.7659328087729946,4.053165939807256,0.30643668174977634,0.3414631849385099,0.3238141092290068,0.25291947835090056,0.2725879630995607,0.46325412402760335,0.23727922162642479,0.08569881809466118
H3K36me,0.13671575373552614,0.12201429146081111,0.1383760806465908,0.15124936735807637,0.1392261602545588,0.13560720210807098,0.13436957370613278,0.14533322941066196,0.133292219371409,0.14580603462370334,0.13672283538656593,0.09822889993845862,0.09480717598489719,0.1588558454677802,0.2523244210980691,0.0243447145613942,0.1550269810027345,0.3064366817497781,4.067448707112483,0.5063437245177731,0.2385397886574916,0.1971938362156802,0.2858987906516717,0.16471432858868695,0.08700491581426739,0.09911573434900234
H3K36me2,0.1271880583573619,0.11004779287312871,0.12903893998604943,0.22062810127265386,0.2594843754073306,0.31345369763441333,0.21841149854412834,0.2807914281346182,0.16111412080103804,0.180669319707631,0.16120173608950594,0.2937888849635364,0.41956646171498235,0.15393840219471144,0.08784058012579443,0.0413447208045028,0.2723986514338783,0.3414631849385117,0.5063437245177731,4.524306646593787,0.28609796048634983,0.21883939748242298,0.31797731036702714,0.17320018496779532,0.10121742433810077,0.11643052353817218
H4K16ac,0.08272102811741888,0.05229492462423302,0.06778204369872576,0.10327436338677387,0.09456540606646158,0.07132686202079697,0.06099690090004728,0.08237776811289876,0.14655515598249025,0.13439781552791352,0.16068883602018058,0.05604500058846007,0.10975390421610243,0.04775445740098938,0.06561869745461202,0.047409907559543996,0.21536513259856527,0.3238141092290068,0.23853978865749248,0.28609796048634806,4.158350895775825,0.16483102949795025,0.11852261389893926,0.24824781347345848,0.14762387047605774,0.08137205812172255
H3K79me3,0.2525767926148479,0.24144453640747976,0.29728252557276313,0.2668742411444107,0.1893173419598888,0.19548755048933586,0.24672130010408289,0.2309716061655802,0.2501900706532929,0.25740000978784217,0.1540095230030616,0.1488303623094076,0.08551747878689753,0.27336919761223655,0.3568628534591163,0.026589974114434867,0.24827004597637803,0.25291947835090056,0.19719383621567665,0.2188393974824212,0.16483102949795025,4.75763129304719,0.9908845863293685,0.6438977076490922,0.4494931304347922,0.14634133208486233
H3K36me3,0.32693951409308575,0.3143061945863419,0.34939649335516876,0.350449378034531,0.29215909188865474,0.3042961313718777,0.3725826428656305,0.288431041090357,0.2860870949825518,0.2855752971079646,0.17150863803238892,0.18826184803617352,0.11696082527411633,0.42242713169728674,0.3064120121436318,0.03691902586292528,0.3189152789923533,0.2725879630995607,0.2858987906516699,0.31797731036702714,0.11852261389893926,0.9908845863293667,5.117308977522265,0.6563855216201535,0.4601373540470419,0.1384700853615275
H4R3me2s,0.3755818082655864,0.33549023006988676,0.35430652007106467,0.38570287896142474,0.33224058334655204,0.3446085451421119,0.47820836923591514,0.42780414753311646,0.33431886774500086,0.33037348678124623,0.17813571001139294,0.22109263666459,0.10623910284293459,0.28069638243686335,0.09132786564307871,0.029013777948195596,0.3099019006756496,0.46325412402760335,0.16471432858868695,0.17320018496779532,0.24824781347346025,0.6438977076490939,0.6563855216201517,4.536115869241322,0.6247298174945364,0.08478638090336865
H4R3me,0.2837072542466217,0.26037088169312206,0.2804045011062861,0.20536749140117294,0.1772820222552287,0.19643281095034126,0.28373330613915293,0.21010755384547686,0.14599935251704643,0.14765702640815448,0.07772765641003332,0.12147277641228804,0.07333660641725537,0.20035883885356043,0.07141612113189844,0.01697908887213373,0.18148378498916173,0.2372792216264239,0.08700491581426473,0.10121742433810077,0.14762387047605863,0.4494931304347922,0.4601373540470419,0.6247298174945364,3.986139096452311,0.033151054903486354
H2AS129ph,0.057026741446076556,0.03739608889063284,0.052600616862134686,0.13527201109260467,0.1114062863422216,0.1598897195428748,0.06441251525811786,0.19919517849840673,0.1394790016639469,0.130210354979722,0.054462576023082576,0.252885219096207,0.12148557732817267,0.04632105319616642,0.10180735118040474,0.030651398094740046,0.14146459299650438,0.08569881809466118,0.09911573434900056,0.11643052353817218,0.08137205812172432,0.14634133208486233,0.1384700853615275,0.08478638090336865,0.03315105490348458,4.449220182138304
