,H4K5ac,H4K12ac,H4K8ac,H3K4ac,H3K23ac,H3K14ac,H2AK5ac,H3K18ac,H3K9ac,H3K56ac,H3K4me3,Htz1,H3K79me,H3K4me,H4K20me,H3K36me,H3K79me3,H3K36me3
H3K56ac_H4K16ac,,,,,,,,,0.0182926723225111,,,,,,,,,
H3K56ac_H3K79me3,,,,0.0949409847030793,0.0263247182251777,,0.025042739691985,0.0050316031019495,0.1036502190913815,,,,,,,,,
H3K56ac_H3K36me3,,,,0.1246190824442994,0.0685026928697407,0.0136648808275623,0.0359808385974673,,0.1095009532450443,,,,,,,,,
H3K56ac_H4R3me2s,,0.0110876959652692,,0.2025923390481132,0.1698888863781888,0.130750373663929,0.140698226065977,0.1460204488472936,0.2196765609984226,,,,,,,,,
H3K56ac_H4R3me,,0.0023679323167318,,0.054778638617595,0.0464543949725104,0.032624179470007,0.0308217956866379,0.0103757276544786,0.0641429050223756,,,,,,,,,
H3K27ac_H3K4me3,,,,,,,0.0007695934303058,,,0.0470911851672735,,,,,,,,
H3K27ac_H3K4me2,,,,,0.0141078755681487,,,,,0.0233295071683006,,,,,,,,
H3K27ac_Htz1,,0.000539742516139,,0.0113775419786481,0.0050121488056547,,0.0218312715532817,,,0.0372570975205892,,,,,,,,
H3K27ac_H3K79me,,,,,,,,,,0.009957099471622,,,,,,,,
H3K27ac_H4R3me2s,,,,,,,,,0.0122957322764865,0.0417044429528488,,,,,,,,
H3K4me3_H3K4me2,,,,,0.1140308944901509,0.2538891990962106,0.0397250932081849,0.1672933482179548,,,,,,,,,,
Htz1_H3K36me3,,,,,,,0.0155939470956329,,,,,,,,,,,
Htz1_H4R3me2s,0.0027315695389482,0.016129175560188,0.0017039885206244,,,,0.0703350690964637,,,,,,,,,,,
Htz1_H4R3me,0.0064922665796878,0.0204995508197001,0.0072922428153727,,,,0.0349962524985425,,,,,,,,,,,
H3K4me_H4K20me,,,,,0.0067389971753133,0.0335225340432749,0.0053544373654492,0.0535063981714092,,,0.0704989169823697,,,,,,,
H4K20me_H3K36me2,,,,,,,,,,,,,,0.1029511480386187,,,,
H4K20me_H4K16ac,,,,,,,,,,,,,,0.0670458483284957,,,,
H4K20me_H3K79me3,,,,,,,,,,,,,,0.0322469364966888,,,,
H4K20me_H3K36me3,,,,,,,,,,,,,,0.0256567430125986,,,,
