,H4K5ac,H4K12ac,H4K8ac,H3K4ac,H3K23ac,H3K14ac,H2AK5ac,H3K18ac,H3K9ac,H3K56ac,H3K27ac,H3K4me2,Htz1,H3K4me,H4K20me,H3K36me2,H4K16ac
H3K56ac_H4K20me,,,,0.0463321661931974,0.0350230934854742,0.0044162317458162,-0.0080166612737642,-0.0367769734197747,0.0445030733479505,,,,,,,,
H3K56ac_H3K36me,,,,0.0250282554366005,-0.0081936257577712,-0.0371065550885347,,,0.0063206602104131,,,,,,,,
H3K56ac_H3K36me2,,,,0.0424785592922418,0.0128293483671555,-0.0342106367196493,,,0.0129649943660492,,,,,,,,
H3K56ac_H4K16ac,,,,-0.0176510478495828,-0.0480514569534022,,,,0.0182926723225111,,,,,,,,
H3K56ac_H3K79me3,-0.0439236836901955,-0.0353858731495364,-0.0338640089267361,,0.0263247182251777,,0.025042739691985,0.0050316031019495,,,,,,,,,
H3K56ac_H3K36me3,,-0.0430064865285828,,,,0.0136648808275623,0.0359808385974673,-0.0148826525244842,,,,,,,,,
H3K56ac_H4R3me2s,-0.0006985021580323,0.0110876959652692,-0.0107818094324159,,,,,,,,,,,,,,
H3K56ac_H4R3me,-0.0114440509371771,0.0023679323167318,-0.0153560944374486,,0.0464543949725104,0.032624179470007,0.0308217956866379,0.0103757276544786,,,,,,,,,
H3K56ac_H2AS129ph,,,,-0.014600997526621,,,,,-0.0106485647849492,,,,,,,,
H3K27ac_H3K4me3,,,,-0.004483841342072,-0.012191734469134,-0.0458107592773622,0.0007695934303058,,-0.0127150410432044,0.0470911851672735,,,,,,,
H3K27ac_H3K4me2,,,,-0.0058335688267519,0.0141078755681487,-0.0221418865521396,-0.0267831452603601,,,0.0233295071683006,,,,,,,
H3K27ac_Htz1,-0.0173241924253808,0.000539742516139,-0.0155089043083798,0.0113775419786481,0.0050121488056547,-0.0072082512090787,0.0218312715532817,,-0.0073166949388081,0.0372570975205892,,,,,,,
H3K27ac_H3K79me,,-0.0326471359036162,-0.0322020185616533,-0.0165383508411682,-0.0443211423281582,,-0.0461847241836395,,,0.009957099471622,,,,,,,
H3K27ac_H3K36me,,,,,,,,,,-0.0257430663193201,,,,,,,
H3K27ac_H3K36me2,,,,,-0.0412587421859598,,,,,-0.0284478767876574,,,,,,,
H3K27ac_H4K16ac,,,,,,,,,,-0.0223985712585843,,,,,,,
