feature,importance,target,method,rank
H4K5ac,0.0011621314,H3K18ac,mean_abs,20
H3K36me2,0.0010968035,H3K18ac,mean_abs,21
H4K12ac,0.00092018576,H3K18ac,mean_abs,22
H4R3me,0.00073442364,H3K18ac,mean_abs,23
H3S10ph,0.0005426026,H3K18ac,mean_abs,24
H3K79me,0.0005031634,H3K18ac,mean_abs,25
H3K23ac_shap_importance.csv,,,,
H3K14ac,0.31400454,H3K23ac,mean_abs,1
H3K4ac,0.090356216,H3K23ac,mean_abs,2
H3K18ac,0.07152937,H3K23ac,mean_abs,3
H3K27ac,0.041644584,H3K23ac,mean_abs,4
H3K9ac,0.0239279,H3K23ac,mean_abs,5
H4K16ac,0.01141725,H3K23ac,mean_abs,6
H2AS129ph,0.010329828,H3K23ac,mean_abs,7
