,tc_value,mmi_value
H3K18ac_H4K16ac_H4R3me2s,1.1297118447228005,-0.36956634404185174
H3K4ac_H3K36me3_H2AS129ph,0.9950468165925255,-0.3693182683669214
H3K4me3_H3K36me2_H4R3me2s,1.0572823371497542,-0.36887634999046526
H3K18ac_H3K4me3_H3K36me3,1.776546188381996,-0.3682718991915763
H3K4me3_H3K4me2_H3K4me,2.092896639986513,-0.3666325671955377
H3K18ac_H3K36me2_H3K36me3,1.2550485936019093,-0.36605722249009354
H3K56ac_H4K16ac_H4R3me2s,1.0809687833231845,-0.365851738334257
H3K4me3_H3S10ph_H3K36me3,0.6508565875060537,-0.3655010165452435
H3K4ac_H3K4me2_H3K36me3,1.1215699111657251,-0.36369187454842233
H3K18ac_H3K4me3_H3K79me,1.4852982100159586,-0.36187281218392897
H3K18ac_Htz1_H2AS129ph,0.8308481015497247,-0.36092849551745587
H3K4ac_H3K4me3_H3K79me,1.1550435122245908,-0.3571433665693853
H3K4me3_Htz1_H2AS129ph,0.777188781417042,-0.3556616417820955
H3K4me3_H3K36me_H3K36me3,0.92949021893115,-0.3547260398386065
H3K18ac_H3K4me_H3K36me3,1.269912272214988,-0.35445817204500685
H3K4me3_H3K4me_H3K36me3,1.3717156416106668,-0.35320295739620633
H3K4ac_H4K16ac_H3K36me3,0.9258327470246535,-0.3531738055389848
H3K4me3_H3K4me_H3K79me3,1.2575362259842358,-0.35013548910603376
H3K18ac_H3K79me3_H2AS129ph,0.9269211678042844,-0.3487195127667668
H4K8ac_H3K4me3_H3K36me3,1.148519113778912,-0.3478663553438377
H3K14ac_H4K16ac_H3K36me3,0.8407637416537916,-0.34685523639439353
H4K8ac_H3K4me3_H2AS129ph,0.9097894359106959,-0.34517713080221846
H3K4me3_H3K79me_H3K36me2,0.8069716122167527,-0.3439658225830655
H3K14ac_H3K4me2_H3K79me3,1.160848136125324,-0.3425544520375752
H3K14ac_H3K4me_H3K36me3,1.2288208519258994,-0.34107596300412624
H4K5ac_H3K4me3_H2AS129ph,0.9077986398926274,-0.3410377194253815
H3K18ac_H3S10ph_H3K36me3,0.7338407798134465,-0.34044241129988073
H3K9ac_H3K36me3_H2AS129ph,0.9062436058028158,-0.34019625963074773
H3K18ac_H3K4me2_H3K79me3,1.178331080728043,-0.3393126867157683
H3K4me3_H3K4me2_H3K36me3,1.5092976229223982,-0.33897429940437895
H3K23ac_H3K36me3_H2AS129ph,0.8814560596154326,-0.3362095090813142
H4K12ac_H3K4me3_H2AS129ph,0.8691446457762808,-0.3354936847616159
H3K4me3_H3K79me3_H3K36me3,1.6647144004220582,-0.33547432792333076
H2AK5ac_H3K4me2_H3K4me,1.1728731409174458,-0.33509979399260814
H3K4me3_H4K16ac_H4R3me2s,0.8610381641756746,-0.3334161564499212
