,tc_value,mmi_value
H3K4me1_H3K4me3_H2BK12ac,0.6747555338732987,-0.2835289936837846
H3K4me3_H3K9me1_H2BK20ac,0.5220908523715835,-0.28327451438826934
H3K4me2_H4K20me1_H3K27ac,0.5661231562822611,-0.28299986661011367
H2BK5me1_H3K4me2_H3K9me1,0.7879066847385019,-0.28130327362244145
H3K4me1_H3K4me2_H2BK5ac,0.4850705676991396,-0.28058587724713924
H3K4me1_H3K4me2_H3K36ac,0.48575961347799534,-0.2799600052389941
H3K4me2_H4K5ac_H4K91ac,0.6935230113528412,-0.2797366234713863
H3K4me1_H4K12ac_H4K91ac,0.9294722601170591,-0.2778448034120089
H3K4me1_H3K18ac_H4K91ac,0.962233411883993,-0.2773199218095481
H2BK5me1_H3K4me1_H4K12ac,0.6000676459897658,-0.2772593959382501
H3K4me2_H3K9me1_H3K27ac,0.8141334683211383,-0.2767683496236817
H3K4me1_H4K20me1_H2BK120ac,0.5448532890618321,-0.2760088173353612
H3K4me1_H3K9me1_H2BK120ac,0.5121668145872604,-0.2749647009518341
H2AZ_H3K4me2_H3K27ac,0.7390430767678442,-0.27483261109902557
H3K4me1_H3K9me1_H4K12ac,0.5108467436057893,-0.2735675275587397
H3K4me1_H3K4me2_H4K8ac,0.47234922933895973,-0.272371989818911
H3K4me1_H4K20me1_H2BK20ac,0.5164951361048153,-0.27206084083963944
H3K4me3_H3K27ac_H4K91ac,1.2279060980487309,-0.2714631259008655
H3K4me2_H3K27ac_H2BK20ac,0.8448227373771537,-0.270055305852102
H2BK5me1_H3K4me1_H3K18ac,0.6526556649148993,-0.2697414059812342
H3K4me1_H3K4me3_H3K36ac,0.7616402991600832,-0.2696147037685446
H3K4me2_H3K27ac_H2BK120ac,1.013279453339937,-0.2688296662694718
H3K4me2_H3K4me3_H2BK5ac,0.7443144644792152,-0.26801888404970775
H3K4me1_H3K4me2_H2BK12ac,0.4377603808135806,-0.2676623182273996
H2BK5me1_H3K4me3_H4K91ac,0.7633633569493838,-0.26723325345937177
H3K4me1_H3K27ac_H4K12ac,0.8314864351503601,-0.2667943177071681
H3K4me1_H3K4me2_H3K9me1,0.9667680587698655,-0.2663551484397324
H3K4me3_H4K12ac_H4K91ac,1.1154741630120135,-0.2646771367464673
H3K4me1_H4K5ac_H4K91ac,0.65948828740569,-0.2605792270731797
H2AZ_H3K4me2_H2BK120ac,0.6098355026057831,-0.25915146291860935
H3K4me2_H4K8ac_H4K91ac,0.5727066218581509,-0.2579815562663512
H3K4me2_H4K91ac_H2BK20ac,0.9291775027375255,-0.25779768102858824
